AreaID,AreaType,d15N
OA10,cordgrass only,4.179216046
OA2,cordgrass only,2.849317478
OA4,cordgrass only,3.577451988
OA5,cordgrass only,3.302646401
OA9,cordgrass only,3.70883714
OC1,cordgrass only,5.010653386
OC2,cordgrass only,4.704756657
OC3,cordgrass only,4.148124903
OC4,cordgrass only,3.716860661
OC7,cordgrass only,4.891303515
OL1,cordgrass only,5.183159083
OL8,cordgrass only,4.126060221
ON1,cordgrass only,4.690715495
ON4,cordgrass only,3.295625821
ON6,cordgrass only,4.413904028
OA6,cordgrass only,2.021517123
OC9,cordgrass only,4.038411269
OL3,cordgrass only,3.445088999
OL5,cordgrass only,3.999258023
ON10,cordgrass only,3.567568385
A10,mussels,5.15206794
A2,mussels,6.204152101
A4,mussels,5.940378856
A5,mussels,6.371643097
A9,mussels,5.769879039
C1,mussels,6.073769889
C2,mussels,6.775827956
C3,mussels,5.373717701
C4,mussels,6.169049198
C7,mussels,6.066749308
L1,mussels,5.935364155
L3,mussels,4.247415972
L8,mussels,4.919385837
N1,mussels,6.461907706
N4,mussels,6.692583928
N6,mussels,6.512054711
A6,mussels,5.931822101
C9,mussels,5.467002793
L5,mussels,4.591576364
N10,mussels,6.088435086
