Year,AreaID,AreaType,LocalMusselDensity_m2,NeighboringMusselDensity_9pim2,BiodepositDepth_cm,SampleCollection
2020,A1,mussels,216,NA,5,porewater; leaf clips
2020,A10,mussels,76,NA,11,porewater; leaf clips
2020,A2,mussels,200,NA,17,porewater; leaf clips
2020,A3,mussels,104,NA,8,porewater; leaf clips
2020,A4,mussels,100,NA,7,porewater; leaf clips
2020,A5,mussels,304,NA,9,porewater; leaf clips
2020,A6,mussels,200,NA,10,porewater; leaf clips
2020,A7,mussels,168,NA,8,porewater; leaf clips
2020,A8,mussels,100,NA,6,porewater; leaf clips
2020,A9,mussels,68,NA,6,porewater; leaf clips
2020,C1,mussels,159,NA,10,porewater; leaf clips
2020,C10,mussels,100,NA,8,porewater; leaf clips
2020,C2,mussels,260,NA,18,porewater; leaf clips
2020,C3,mussels,172,NA,13,porewater; leaf clips
2020,C4,mussels,144,NA,13,porewater; leaf clips
2020,C5,mussels,172,NA,9,porewater; leaf clips
2020,C6,mussels,124,NA,4,porewater; leaf clips
2020,C7,mussels,120,NA,10,porewater; leaf clips
2020,C8,mussels,84,NA,9,porewater; leaf clips
2020,C9,mussels,68,NA,8,porewater; leaf clips
2020,L1,mussels,128,NA,14,porewater; leaf clips
2020,L10,mussels,60,NA,3,porewater; leaf clips
2020,L2,mussels,24,NA,1,porewater; leaf clips
2020,L3,mussels,0,NA,0.5,porewater; leaf clips
2020,L4,mussels,28,NA,2,porewater; leaf clips
2020,L5,mussels,56,NA,2,porewater; leaf clips
2020,L6,mussels,28,NA,2,porewater; leaf clips
2020,L7,mussels,20,NA,1,porewater; leaf clips
2020,L8,mussels,8,NA,1,porewater; leaf clips
2020,L9,mussels,48,NA,2,porewater; leaf clips
2020,N1,mussels,96,NA,10,porewater; leaf clips
2020,N10,mussels,172,NA,10,porewater; leaf clips
2020,N2,mussels,152,NA,12,porewater; leaf clips
2020,N3,mussels,136,NA,12,porewater; leaf clips
2020,N4,mussels,228,NA,15,porewater; leaf clips
2020,N5,mussels,160,NA,9,porewater; leaf clips
2020,N6,mussels,128,NA,7,porewater; leaf clips
2020,N7,mussels,248,NA,12,porewater; leaf clips
2020,N8,mussels,272,NA,6,porewater; leaf clips
2020,N9,mussels,192,NA,12,porewater; leaf clips
2020,OA1,cordgrass only,NA,329,NA,porewater; leaf clips
2020,OA10,cordgrass only,NA,45,NA,porewater; leaf clips
2020,OA2,cordgrass only,NA,261,NA,porewater; leaf clips
2020,OA3,cordgrass only,NA,217,NA,porewater; leaf clips
2020,OA4,cordgrass only,NA,43,NA,porewater; leaf clips
2020,OA5,cordgrass only,NA,396,NA,porewater; leaf clips
2020,OA6,cordgrass only,NA,296,NA,porewater; leaf clips
2020,OA7,cordgrass only,NA,252,NA,porewater; leaf clips
