AreaID,Layer,AreaType,NH4_uM
A1,sediment,mussels,151.5414286
A10,sediment,mussels,60.24142857
A2,biodeposit,mussels,53.14071429
A2,sediment,mussels,151.8264286
A3,sediment,mussels,123.0907143
A4,biodeposit,mussels,110.795
A4,sediment,mussels,243.0371429
A5,biodeposit,mussels,142.6785714
A5,sediment,mussels,98.47
A6,sediment,mussels,237.7628571
A7,sediment,mussels,275.5864286
A8,sediment,mussels,136.3364286
A9,sediment,mussels,138.7
C1,biodeposit,mussels,78.39714286
C1,sediment,mussels,16.55428571
C10,sediment,mussels,184.3821429
C2,sediment,mussels,103.7828571
C3,biodeposit,mussels,47.32928571
C3,sediment,mussels,105.4
C4,sediment,mussels,130.5757143
C5,sediment,mussels,126.7607143
C6,sediment,mussels,107.9392857
C7,sediment,mussels,215.685
C8,sediment,mussels,168.3007143
C9,biodeposit,mussels,37.41642857
C9,sediment,mussels,199.845
L1,sediment,mussels,38.65285714
L10,sediment,mussels,195.185
L2,sediment,mussels,43.01071429
L3,sediment,mussels,216.6735714
L4,sediment,mussels,116.5314286
L5,sediment,mussels,339.7521429
L6,sediment,mussels,319.7807143
L7,sediment,mussels,121.0621429
L8,sediment,mussels,113.5592857
L9,sediment,mussels,260.7971429
N1,biodeposit,mussels,93.10142857
N1,sediment,mussels,299.0542857
N10,biodeposit,mussels,286.77
N10,sediment,mussels,63.58071429
N2,sediment,mussels,206.6314286
N3,sediment,mussels,113.3221429
N4,biodeposit,mussels,41.17785714
N4,sediment,mussels,118.285
N5,sediment,mussels,189.0157143
N6,sediment,mussels,102.5357143
N7,sediment,mussels,104.1878571
N8,sediment,mussels,138.6128571
N9,sediment,mussels,183.0471429
OA1,sediment,cordgrass only,121.4435714
OA10,sediment,cordgrass only,89.75928571
OA2,sediment,cordgrass only,181.4764286
OA3,sediment,cordgrass only,265.8657143
OA4,sediment,cordgrass only,107.1357143
OA5,sediment,cordgrass only,194.6371429
OA6,sediment,cordgrass only,194.515
OA7,sediment,cordgrass only,142.13
OA8,sediment,cordgrass only,208.1564286
OA9,sediment,cordgrass only,191.3992857
OC1,sediment,cordgrass only,165.7728571
OC10,sediment,cordgrass only,177.345
OC2,sediment,cordgrass only,83.51071429
OC3,sediment,cordgrass only,134.8128571
OC4,sediment,cordgrass only,128.3021429
OC5,sediment,cordgrass only,131.7907143
OC6,sediment,cordgrass only,166.5514286
OC7,sediment,cordgrass only,105.5328571
OC8,sediment,cordgrass only,78.97714286
OC9,sediment,cordgrass only,155.4764286
OL1,sediment,cordgrass only,110.9535714
OL10,sediment,cordgrass only,148.9914286
OL2,sediment,cordgrass only,115.0935714
OL3,sediment,cordgrass only,183.5864286
OL4,sediment,cordgrass only,113.9435714
OL5,sediment,cordgrass only,119.8285714
OL6,sediment,cordgrass only,152.51
OL7,sediment,cordgrass only,193.6535714
OL8,sediment,cordgrass only,180.0585714
OL9,sediment,cordgrass only,96.12642857
ON1,sediment,cordgrass only,118.9342857
ON10,sediment,cordgrass only,136.5521429
ON2,sediment,cordgrass only,151.8085714
ON3,sediment,cordgrass only,172.6764286
ON4,sediment,cordgrass only,357.3628571
ON5,sediment,cordgrass only,156.5335714
ON6,sediment,cordgrass only,236.6657143
ON7,sediment,cordgrass only,316.1685714
ON8,sediment,cordgrass only,259.9142857
ON9,sediment,cordgrass only,214.0364286
