AreaID,AreaType,SedimentWeight_g,Hour,Replicate,ApproxWaterVolume_L,ApproximateSedVolume_L,Date,CapTime,SacrificeTime
A1,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:35,16:18
A1,mussels,14.4,6,1,0.044,0.012,6/1/2023,11:03,17:37
A1,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:39,19:36
A1,mussels,14,0,2,0.044,0.012,6/1/2023,15:35,16:22
A1,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:04,17:40
A1,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:39,19:38
A2,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:29,15:59
A2,mussels,14.4,6,1,0.044,0.012,6/1/2023,10:54,17:28
A2,mussels,14.1,10,1,0.044,0.012,6/2/2023,9:34,19:26
A2,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:30,16:03
A2,mussels,14.3,6,2,0.044,0.012,6/1/2023,10:56,17:30
A2,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:35,19:28
A3,mussels,14.2,0,1,0.044,0.012,6/1/2023,15:31,16:08
A3,mussels,14.4,6,1,0.044,0.012,6/1/2023,10:51,17:23
A3,mussels,13.6,10,1,0.044,0.012,6/2/2023,9:35,19:32
A3,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:32,16:09
A3,mussels,14.3,6,2,0.044,0.012,6/1/2023,10:53,17:25
A3,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
A5,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:38,16:30
A5,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:08,17:47
A5,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:41,19:43
A5,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:39,16:32
A5,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:10,17:50
A5,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
A8,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:40,16:35
A8,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:12,17:52
A8,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:42,19:45
A8,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:41,16:37
A8,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:13,17:54
A8,mussels,14.4,10,2,0.044,0.012,6/2/2023,9:43,19:47
C1,mussels,14.2,0,1,0.044,0.012,6/1/2023,19:07,19:30
C1,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:34,18:29
C1,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:50,20:09
C1,mussels,14.1,0,2,0.044,0.012,6/1/2023,19:08,19:32
C1,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:35,18:31
C1,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
C3,mussels,14.4,0,1,0.044,0.012,6/1/2023,19:09,19:34
C3,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:36,18:34
C3,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:51,20:11
C3,mussels,14.1,0,2,0.044,0.012,6/1/2023,19:10,19:36
C3,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:38,18:36
C3,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
C4,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:11,19:38
C4,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:42,18:38
C4,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:51,20:12
C4,mussels,14.4,0,2,0.044,0.012,6/1/2023,19:12,19:41
C4,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:40,18:40
C4,mussels,14,10,2,0.044,0.012,6/2/2023,9:52,20:14
L10,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:45,16:49
L10,mussels,14.4,6,1,0.044,0.012,6/1/2023,11:20,18:07
L10,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:46,20:00
L10,mussels,14.3,0,2,0.044,0.012,6/1/2023,15:46,16:51
L10,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:21,18:09
L10,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L4,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:05,19:26
L4,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:32,18:24
L4,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:49,20:07
L4,mussels,14.5,0,2,0.044,0.012,6/1/2023,19:06,19:28
L4,mussels,14.3,6,2,0.044,0.012,6/1/2023,11:33,18:26
L4,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L6,mussels,14.3,0,1,0.044,0.012,6/1/2023,19:03,19:22
L6,mussels,14.1,6,1,0.044,0.012,6/1/2023,11:29,18:20
L6,mussels,14.4,10,1,0.044,0.012,6/2/2023,9:48,20:05
L6,mussels,14.2,0,2,0.044,0.012,6/1/2023,19:04,19:24
L6,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:30,18:22
L6,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L7,mussels,14.2,0,1,0.044,0.012,6/1/2023,19:01,19:18
L7,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:26,18:15
L7,mussels,14.3,10,1,0.044,0.012,6/2/2023,9:48,20:02
L7,mussels,14.5,0,2,0.044,0.012,6/1/2023,19:02,19:21
L7,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:27,18:17
L7,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
L9,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:47,16:53
L9,mussels,14.3,6,1,0.044,0.012,6/1/2023,11:23,18:11
L9,mussels,14,10,1,0.044,0.012,6/2/2023,9:42,19:57
L9,mussels,14.1,0,2,0.044,0.012,6/1/2023,15:48,16:55
L9,mussels,14.5,6,2,0.044,0.012,6/1/2023,11:24,18:13
L9,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N1,mussels,14.4,0,1,0.044,0.012,6/1/2023,15:28,15:50
N1,mussels,14.5,6,1,0.044,0.012,6/1/2023,10:57,17:17
N1,mussels,14,10,1,0.044,0.012,6/2/2023,9:32,19:21
N1,mussels,14.5,0,2,0.044,0.012,6/1/2023,15:28,15:54
N1,mussels,14.2,6,2,0.044,0.012,6/1/2023,10:59,17:20
N1,mussels,13.1,10,2,0.044,0.012,6/2/2023,9:33,19:24
N10,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:42,16:39
N10,mussels,14.5,6,1,0.044,0.012,6/1/2023,11:14,17:57
N10,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:43,19:49
N10,mussels,14.3,0,2,0.044,0.012,6/1/2023,15:43,16:41
N10,mussels,14.4,6,2,0.044,0.012,6/1/2023,11:16,18:00
N10,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N5,mussels,14.5,0,1,0.044,0.012,6/1/2023,15:33,16:12
N5,mussels,14.2,6,1,0.044,0.012,6/1/2023,11:00,17:33
N5,mussels,14.2,10,1,0.044,0.012,6/2/2023,9:37,19:34
N5,mussels,14.2,0,2,0.044,0.012,6/1/2023,15:34,16:15
N5,mussels,14.2,6,2,0.044,0.012,6/1/2023,11:01,17:35
N5,mussels,NA,10,2,0.044,0.012,6/2/2023,NA,NA
N6,mussels,14.1,0,1,0.044,0.012,6/1/2023,15:36,16:25
N6,mussels,14.1,6,1,0.044,0.012,6/1/2023,11:06,17:43
