AreaID,AreaType,Hour,Replicate,uMN,uMO2,O2_mg_L,MIMS_Notes,RemoveN,RemoveO2
A1,mussels,0,1,841.7140547,206.2020144,6.598464462,prematurely opened,N,N
A2,mussels,0,1,841.3270202,210.5310077,6.736992246,,N,N
A3,mussels,0,1,842.2470471,205.8193994,6.586220781,,N,N
A5,mussels,0,1,843.9421203,201.4393528,6.446059289,,N,N
A8,mussels,0,1,844.7471789,201.2820438,6.4410254,bubble,N,N
C1,mussels,0,1,841.8182194,210.4868263,6.735578442,,N,N
C3,mussels,0,1,841.376952,208.8044303,6.68174177,,N,N
C4,mussels,0,1,840.7758041,208.4306223,6.669779915,,N,N
L10,mussels,0,1,843.5703089,200.9643689,6.430859804,,N,N
L4,mussels,0,1,842.957015,209.9412329,6.718119452,,N,N
L6,mussels,0,1,838.7869155,210.5329445,6.737054224,bubble,N,N
L7,mussels,0,1,841.7649321,212.7192892,6.807017254,,N,N
L9,mussels,0,1,842.9788156,193.0993672,6.179179751,,N,N
N1,mussels,0,1,843.1080541,211.8283254,6.778506414,bubble,N,N
N10,mussels,0,1,843.6613616,206.3790131,6.604128419,bubble,N,N
N5,mussels,0,1,843.1876697,210.4602201,6.734727045,,N,N
N6,mussels,0,1,843.205989,204.6363983,6.548364745,bubble,N,N
N7,mussels,0,1,845.0392091,193.4679497,6.190974391,,N,N
OA10,cordgrass only,0,1,841.5541332,202.6552889,6.484969246,,N,N
OA2,cordgrass only,0,1,840.1091985,203.5132444,6.51242382,,N,N
OA3,cordgrass only,0,1,840.561119,207.1886008,6.630035227,,N,N
OA9,cordgrass only,0,1,840.9398008,202.2571329,6.472228252,,N,N
OC2,cordgrass only,0,1,840.3178449,203.7483804,6.519948174,,N,N
OC3,cordgrass only,0,1,840.6504876,204.5338925,6.545084559,,N,N
OC9,cordgrass only,0,1,840.7998571,204.3531325,6.539300239,bubble,N,N
OL10,cordgrass only,0,1,838.6386818,188.4907523,6.031704072,,N,N
OL2,cordgrass only,0,1,840.8429941,211.3704756,6.763855219,,N,N
OL3,cordgrass only,0,1,840.8518917,208.9165248,6.685328793,,N,N
OL4,cordgrass only,0,1,839.4020233,213.3015457,6.825649464,,N,N
OL5,cordgrass only,0,1,836.2918738,199.8566274,6.395412076,,N,N
OL8,cordgrass only,0,1,840.7693592,212.0124622,6.784398791,,N,N
ON1,cordgrass only,0,1,838.9405867,204.8292247,6.55453519,,N,N
ON10,cordgrass only,0,1,838.4337849,190.6006069,6.099219421,,N,N
ON2,cordgrass only,0,1,833.552508,210.0439716,6.72140709,,Y,N
ON3,cordgrass only,0,1,839.5004949,190.4414615,6.094126767,,N,N
ON4,cordgrass only,0,1,840.0109842,191.0601513,6.113924843,,N,N
ON6,cordgrass only,0,1,840.4643312,202.5107541,6.480344131,,N,N
WB,NA,0,1,843.6282728,209.1295161,6.692144516,bubble,N,N
A1,mussels,0,2,843.5123887,197.4608928,6.318748571,,N,N
A2,mussels,0,2,842.0962507,206.5965924,6.611090957,,N,N
A3,mussels,0,2,842.4380589,208.0386297,6.65723615,,N,N
A5,mussels,0,2,839.9687591,202.4520718,6.478466297,,N,N
A8,mussels,0,2,846.2931891,204.7908713,6.553307882,,N,N
C1,mussels,0,2,841.363177,210.1457996,6.724665587,,N,N
C3,mussels,0,2,841.7582503,208.8494091,6.683181091,,N,N
C4,mussels,0,2,840.4957534,208.9824607,6.687438743,,N,N
L10,mussels,0,2,843.1279283,191.454516,6.126544512,,N,N
L4,mussels,0,2,842.9389484,209.0266697,6.688853432,,N,N
L6,mussels,0,2,842.7885448,210.2265957,6.727251063,,N,N
L7,mussels,0,2,842.2219256,101.138155,3.236420962,outlier,N,Y
L9,mussels,0,2,844.121703,169.6590885,5.429090832,,N,N
N1,mussels,0,2,839.3579952,210.2738081,6.728761861,,N,N
N10,mussels,0,2,845.581132,196.6057977,6.291385527,,Y,N
N5,mussels,0,2,844.7737684,205.1553431,6.564970978,bubble,N,N
N6,mussels,0,2,843.0742026,203.1925655,6.502162096,bubble,N,N
N7,mussels,0,2,843.9219689,196.9641612,6.302853158,bubble,N,N
OA10,cordgrass only,0,2,841.9967088,201.1726493,6.437524777,,Y,N
OA2,cordgrass only,0,2,837.3919733,207.5318943,6.641020617,,N,N
OA3,cordgrass only,0,2,839.6180497,207.660267,6.645128544,,N,N
OA9,cordgrass only,0,2,840.0412434,189.1715741,6.05349037,,N,N
OC2,cordgrass only,0,2,837.8414864,203.1783775,6.50170808,,N,N
OC3,cordgrass only,0,2,840.8980747,201.7413846,6.455724306,,N,N
OC9,cordgrass only,0,2,841.182535,204.789419,6.553261408,,N,N
OL10,cordgrass only,0,2,839.0560794,190.1318461,6.084219074,,N,N
OL2,cordgrass only,0,2,835.4070409,209.2714153,6.69668529,,Y,N
OL3,cordgrass only,0,2,841.5428683,207.4188676,6.637403762,,N,N
OL4,cordgrass only,0,2,841.441432,211.1148915,6.755676527,,Y,N
OL5,cordgrass only,0,2,834.9172808,199.8846034,6.396307309,,N,N
OL8,cordgrass only,0,2,842.109424,211.3463027,6.763081687,,N,N
ON1,cordgrass only,0,2,838.5964056,204.378989,6.540127648,,N,N
ON10,cordgrass only,0,2,836.7129859,192.7820743,6.169026377,,N,N
ON2,cordgrass only,0,2,839.8458497,206.8657001,6.619702402,,N,N
ON3,cordgrass only,0,2,838.0454916,195.6808658,6.261787707,,N,N
ON4,cordgrass only,0,2,836.9731601,198.0022092,6.336070693,,Y,N
ON6,cordgrass only,0,2,840.5663571,194.6763152,6.229642085,,N,N
WB,NA,0,2,843.5754783,208.919926,6.685437632,,N,N
A1,mussels,6,1,846.0913375,137.3640924,4.395650958,,N,N
A2,mussels,6,1,846.8937487,125.1917482,4.006135943,,N,N
A3,mussels,6,1,857.4667751,81.64561814,2.612659781,,Y,N
A5,mussels,6,1,848.5682971,121.1873214,3.877994286,,N,N
A8,mussels,6,1,848.8012873,99.08296637,3.170654924,,N,N
C1,mussels,6,1,851.7536531,101.2529296,3.240093747,,N,N
C3,mussels,6,1,847.8250179,116.9873153,3.74359409,,N,N
C4,mussels,6,1,848.8638097,126.2020777,4.038466486,,N,N
L10,mussels,6,1,845.9938652,141.327451,4.522478431,,N,N
L4,mussels,6,1,844.9121608,107.1978091,3.430329892,,N,N
L6,mussels,6,1,847.7657721,114.7090201,3.670688644,,N,N
L7,mussels,6,1,849.3455171,103.5174598,3.312558715,,N,N
L9,mussels,6,1,849.9646032,98.12791065,3.140093141,poor read,N,N
N1,mussels,6,1,848.9876535,110.9109594,3.549150701,,N,N
N10,mussels,6,1,844.9959815,144.0317415,4.609015729,,Y,N
N5,mussels,6,1,847.259512,118.9400827,3.806082647,,N,N
N6,mussels,6,1,845.3533882,131.5363507,4.209163221,,N,N
N7,mussels,6,1,846.9812001,142.2269877,4.551263605,,N,N
OA10,cordgrass only,6,1,842.4299038,134.180436,4.293773952,,N,N
OA2,cordgrass only,6,1,841.4364905,132.6912664,4.246120526,,N,N
OA3,cordgrass only,6,1,842.4014807,141.6563339,4.533002684,,N,N
OA9,cordgrass only,6,1,843.0307753,149.3807796,4.780184946,,N,N
OC2,cordgrass only,6,1,841.3329561,116.5553341,3.729770692,,N,N
OC3,cordgrass only,6,1,846.1667933,86.22364429,2.759156617,,N,N
OC9,cordgrass only,6,1,842.6252905,137.1559895,4.388991665,,N,N
OL10,cordgrass only,6,1,839.4656808,152.9047356,4.89295154,,Y,N
OL2,cordgrass only,6,1,843.2170984,106.3236277,3.402356087,,N,N
OL3,cordgrass only,6,1,843.3398977,131.4301899,4.205766076,,N,N
OL4,cordgrass only,6,1,841.8657463,62.47993299,1.999357856,,N,N
OL5,cordgrass only,6,1,836.5359564,139.0306837,4.448981879,,Y,N
OL8,cordgrass only,6,1,841.5908006,71.32318477,2.282341913,,Y,N
ON1,cordgrass only,6,1,842.5252577,108.2413339,3.463722685,,N,N
ON10,cordgrass only,6,1,842.036714,146.776209,4.69683869,,N,N
ON2,cordgrass only,6,1,842.3910474,105.3627996,3.371609587,,N,N
ON3,cordgrass only,6,1,838.054499,143.1509987,4.580831959,,Y,N
ON4,cordgrass only,6,1,843.9892955,97.85358421,3.131314695,,N,N
ON6,cordgrass only,6,1,840.3833938,156.2978443,5.001531018,,Y,N
WB,NA,6,1,843.9002992,208.2153015,6.662889647,,Y,Y
A1,mussels,6,2,849.6113956,118.5787944,3.794521422,,N,N
A2,mussels,6,2,847.3329749,133.0941531,4.259012899,,N,N
A3,mussels,6,2,844.7470238,147.0329487,4.70505436,,Y,N
A5,mussels,6,2,847.4224648,109.6480345,3.508737105,,N,N
A8,mussels,6,2,844.773777,145.4615786,4.654770515,,Y,N
C1,mussels,6,2,846.9722853,142.8209988,4.570271962,,N,N
C3,mussels,6,2,848.0636895,83.2467989,2.663897565,,N,N
C4,mussels,6,2,845.3028762,155.9519508,4.990462424,prematurely opened,N,N
L10,mussels,6,2,846.5804042,132.730226,4.247367232,,N,N
L4,mussels,6,2,845.0926243,138.0556609,4.417781147,,N,N
L6,mussels,6,2,846.6422144,90.24253477,2.887761113,bubble,N,N
L7,mussels,6,2,846.5935272,127.415665,4.077301278,,N,N
L9,mussels,6,2,846.8755721,132.4947207,4.239831064,,N,N
N1,mussels,6,2,846.7098288,124.7197267,3.991031253,,N,N
N10,mussels,6,2,846.9267653,143.4073494,4.589035181,,N,N
N5,mussels,6,2,846.7176513,142.1401127,4.548483607,,N,N
N6,mussels,6,2,849.1072843,116.8883321,3.740426628,bubble,N,N
N7,mussels,6,2,849.3437252,118.4368327,3.789978647,,N,N
OA10,cordgrass only,6,2,842.368063,148.1323752,4.740236007,,N,N
OA2,cordgrass only,6,2,841.6218704,123.062446,3.937998272,,N,N
OA3,cordgrass only,6,2,844.0329474,122.49609,3.919874879,,N,N
OA9,cordgrass only,6,2,843.8481698,145.4272889,4.653673246,,N,N
OC2,cordgrass only,6,2,839.7155427,105.1496612,3.364789158,,N,N
OC3,cordgrass only,6,2,845.0101416,113.1395799,3.620466557,,N,N
OC9,cordgrass only,6,2,840.0936534,114.1051824,3.651365836,,Y,N
OL10,cordgrass only,6,2,838.4615142,146.8053436,4.697770995,,Y,N
OL2,cordgrass only,6,2,842.1772165,101.1539029,3.236924892,bubble,N,N
OL3,cordgrass only,6,2,841.504565,118.0106863,3.776341963,,Y,N
OL4,cordgrass only,6,2,841.4188335,93.04289432,2.977372618,,N,N
OL5,cordgrass only,6,2,839.9060767,123.1304827,3.940175447,,N,N
OL8,cordgrass only,6,2,841.0248787,122.6933118,3.926185978,bubble; poor read,Y,N
ON1,cordgrass only,6,2,840.1742105,150.9378013,4.830009641,,N,N
ON10,cordgrass only,6,2,841.6914229,129.8613308,4.155562584,,N,N
ON2,cordgrass only,6,2,841.1894794,128.6497015,4.116790449,,N,N
ON3,cordgrass only,6,2,837.1567448,89.86600873,2.875712279,,Y,N
ON4,cordgrass only,6,2,845.495166,104.3531394,3.33930046,,N,N
ON6,cordgrass only,6,2,841.598957,127.6345348,4.084305112,,N,N
WB,NA,6,2,844.8678725,209.5228573,6.704731435,bubble,Y,Y
A1,mussels,10,1,847.1799188,85.80810098,2.745859231,,Y,N
A2,mussels,10,1,848.0087116,94.55173546,3.025655535,,N,N
A3,mussels,10,1,852.5785116,79.26587228,2.536507913,,N,N
A5,mussels,10,1,847.6072388,83.49672966,2.671895349,,Y,N
A8,mussels,10,1,846.4998496,88.27964393,2.824948606,,Y,N
C1,mussels,10,1,849.7955174,60.38907776,1.932450488,,Y,N
C3,mussels,10,1,850.7871245,63.92137665,2.045484053,bubble,N,N
C4,mussels,10,1,847.4123399,78.00653696,2.496209183,,Y,N
L10,mussels,10,1,849.1659527,62.88037266,2.012171925,bubble,N,N
L4,mussels,10,1,848.0150727,76.55154114,2.449649317,,N,N
L6,mussels,10,1,848.1395068,84.29165711,2.697333028,,Y,N
L7,mussels,10,1,848.7896434,66.70970914,2.134710693,,Y,N
L9,mussels,10,1,847.3266296,80.04710906,2.56150749,,Y,N
N1,mussels,10,1,847.0447759,86.89325395,2.780584127,,Y,N
N10,mussels,10,1,847.330242,84.09902792,2.691168894,,N,N
N5,mussels,10,1,847.8861161,88.86658458,2.843730707,,N,N
N6,mussels,10,1,848.7313245,83.06242081,2.657997466,,N,N
