AreaID,Hour,Replicate,uMNOx,uMNH4,RemoveNOx,RemoveNH4
A1,0,1,-0.136928571,10.98828571,N,N
A2,0,1,-0.371785714,10.204,N,N
A3,0,1,-0.057214286,10.186,N,N
A5,0,1,-0.180928571,10.98892857,N,N
A8,0,1,-0.140357143,11.12814286,N,N
C1,0,1,-0.159428571,14.56121429,N,N
C3,0,1,-0.187714286,15.49121429,N,N
C4,0,1,-0.26,14.72035714,N,N
L10,0,1,-0.357428571,10.76314286,N,N
L4,0,1,-0.118571429,14.64457143,N,N
L6,0,1,-0.001642857,13.77535714,N,N
L7,0,1,0.026285714,12.5555,N,N
L9,0,1,-0.429357143,10.56278571,N,N
N1,0,1,0.092714286,9.223,N,N
N10,0,1,-0.0385,11.16507143,N,N
N5,0,1,-0.3305,9.663857143,N,N
N6,0,1,-0.293357143,10.619,N,N
N7,0,1,-0.324357143,11.28592857,N,N
OA10,0,1,-0.279071429,7.504857143,N,N
OA2,0,1,1.373,7.961642857,Y,N
OA3,0,1,-0.101857143,8.612928571,N,N
OA9,0,1,-0.286571429,9.655357143,N,N
OC2,0,1,0.488714286,12.56428571,N,N
OC3,0,1,-0.143428571,13.74328571,N,N
OC9,0,1,-0.150571429,13.49335714,N,N
OL10,0,1,-0.372071429,7.699285714,N,N
OL2,0,1,-0.198642857,14.18671429,N,N
OL3,0,1,-0.101214286,14.20635714,N,N
OL4,0,1,-0.081428571,12.98878571,N,N
OL5,0,1,-0.280071429,8.845571429,N,N
OL8,0,1,0.177071429,14.71128571,N,N
ON10,0,1,-0.125214286,9.687357143,N,N
ON2,0,1,-0.106928571,9.017428571,N,N
ON3,0,1,-0.113857143,8.043214286,N,N
ON4,0,1,0.053857143,10.06214286,N,N
ON6,0,1,-0.171,8.931142857,N,N
WB,0,1,-0.028285714,15.619,N,N
A5,0,2,-0.516928571,11.6,N,N
L6,0,2,-0.453214286,14.37728571,N,N
N1,0,2,-0.484571429,13.70314286,N,N
OA2,0,2,-0.240214286,6.787571429,N,N
OC2,0,2,-0.113785714,13.31657143,N,N
OL2,0,2,-0.029285714,12.53392857,N,N
